h,v,deg,error,est_distance,est_residual_knn
0.0,150.0,20.0,0.0014676775317639112,0.32015621187164245,0.0009984997256348531
0.0,150.0,25.0,0.0006892678211443126,0.25,0.0010159826682259638
0.0,150.0,30.0,0.0006886284681968391,0.25,0.0007957171959181627
0.0,150.0,35.0,0.0006294561899267137,0.25,0.0006937732493194441
0.0,150.0,40.0,0.0005290858680382371,0.25,0.0007287458865903318
0.0,150.0,45.0,0.0007593890768475831,0.3201562118716424,0.0006725729132692019
0.0,200.0,20.0,0.0014596647815778852,0.32015621187164245,0.0015564177301712334
0.0,200.0,25.0,0.0007107032579369843,0.25,0.0013291701713266473
0.0,200.0,30.0,0.0007579976809211075,0.25,0.0007084342263018092
0.0,200.0,35.0,0.00044633314246311784,0.25,0.0006660732033196837
0.0,200.0,40.0,0.00039970033685676754,0.25,0.000604480291561534
0.0,200.0,45.0,0.0006331723416224122,0.3201562118716424,0.0006476095974600563
0.0,250.0,20.0,0.0015251816948875785,0.32015621187164245,0.0017986403545364738
0.0,250.0,25.0,0.000998751143924892,0.25,0.0015090123245803018
0.0,250.0,30.0,0.000806748925242573,0.25,0.0013655577204190195
0.0,250.0,35.0,0.0005141822039149702,0.25,0.0012317885605928798
0.0,250.0,40.0,0.0005358121125027537,0.25,0.0007142289541661739
0.0,250.0,45.0,0.000910324917640537,0.3201562118716424,0.0006046058260835707
0.0,300.0,20.0,0.0008268742822110653,0.32015621187164245,0.001046769068731616
0.0,300.0,25.0,0.0006502841715700924,0.25,0.0009122301707975566
0.0,300.0,30.0,0.000778852088842541,0.25,0.0008779870695434511
0.0,300.0,35.0,0.0006016549887135625,0.25,0.000755472166929394
0.0,300.0,40.0,0.0005573539528995752,0.25,0.000876811488221089
0.0,300.0,45.0,0.001004119636490941,0.3201562118716424,0.0007028618711046875
1.0,150.0,20.0,0.0014145893510431051,0.25,0.0012679143304315705
1.0,150.0,25.0,0.0008916420047171414,0.25,0.0010574282496236265
1.0,150.0,30.0,0.0010684275766834617,0.25,0.0008146252948790789
1.0,150.0,35.0,0.0008636054117232561,0.25,0.000831758719868958
1.0,150.0,40.0,0.0007973923929966986,0.25,0.0006946439195113877
1.0,150.0,45.0,0.00069124047877267,0.25,0.0008567272064586481
1.0,200.0,20.0,0.002188701881095767,0.25,0.0015689055047308405
1.0,200.0,25.0,0.001769848051480949,0.25,0.0012892238058460255
1.0,200.0,30.0,0.0009682662785053253,0.25,0.0017312298878096044
1.0,200.0,35.0,0.000840521592181176,0.25,0.000716178270522505
1.0,200.0,40.0,0.000733935390599072,0.25,0.0006831383313207576
1.0,200.0,45.0,0.0008091930649243295,0.25,0.0007057028900211056
1.0,250.0,20.0,0.0022020635660737753,0.25,0.0021064943090702095
1.0,250.0,25.0,0.002195106353610754,0.25,0.001928184841138621
1.0,250.0,30.0,0.0025837398134171963,0.25,0.0017848866409622133
1.0,250.0,35.0,0.002352804644033313,0.25,0.0012720339194250603
1.0,250.0,40.0,0.0007181797409430146,0.25,0.0011494807937803368
1.0,250.0,45.0,0.0005598256248049438,0.25,0.0010083902355593939
1.0,300.0,20.0,0.0013590588932856917,0.25,0.0014594344732662041
1.0,300.0,25.0,0.0011309641413390636,0.25,0.001130455037734161
1.0,300.0,30.0,0.0013820220483466983,0.25,0.0009466755630758902
1.0,300.0,35.0,0.0009302104590460658,0.25,0.0010027789588396747
1.0,300.0,40.0,0.0010246598394587636,0.25,0.0006713787443004549
1.0,300.0,45.0,0.0005265718209557235,0.25,0.0009680421014005939
2.0,150.0,20.0,0.0014444234548136592,0.25,0.0017967836853737633
2.0,150.0,25.0,0.0017214220715686679,0.25,0.0013361441475960116
2.0,150.0,30.0,0.001672366983257234,0.25,0.001436348616455992
2.0,150.0,35.0,0.0015191962011158466,0.25,0.001202423785192271
2.0,150.0,40.0,0.001071298960596323,0.25,0.0011099962478814025
2.0,150.0,45.0,0.0010134001495316625,0.25,0.0008846322889439762
2.0,200.0,20.0,0.0014772036811336875,0.25,0.0025225176165501275
2.0,200.0,25.0,0.0020210454240441322,0.25,0.0019434572507937749
2.0,200.0,30.0,0.0025833200197666883,0.25,0.0017724424445380766
2.0,200.0,35.0,0.0023280156310647726,0.25,0.0015172995820951958
2.0,200.0,40.0,0.0011280571343377233,0.25,0.001270650653168559
2.0,200.0,45.0,0.0007500009378418326,0.25,0.0010039488746163745
2.0,250.0,20.0,0.0025991948787122965,0.25,0.0018373488370950024
2.0,250.0,25.0,0.001726064714603126,0.25,0.001896763142819206
2.0,250.0,30.0,0.0008959881961345673,0.25,0.0026819190243259072
2.0,250.0,35.0,0.0037359525449573994,0.25,0.0024231382800887027
2.0,250.0,40.0,0.0040206220000982285,0.25,0.0027027272153645754
2.0,250.0,45.0,0.0013966660480946302,0.25,0.0021585753614393375
2.0,300.0,20.0,0.0024204649962484837,0.25,0.0018216278792048495
2.0,300.0,25.0,0.0020680928137153387,0.25,0.0017286134728540976
2.0,300.0,30.0,0.0016344112809747458,0.25,0.0014723727557187278
2.0,300.0,35.0,0.0009670034050941467,0.25,0.0014242501541351278
2.0,300.0,40.0,0.001708128722384572,0.25,0.0009556700242683291
2.0,300.0,45.0,0.0008753468282520771,0.25,0.0010353467465999226
3.0,150.0,20.0,0.0022543396335095167,0.25,0.0021050659706816077
3.0,150.0,25.0,0.0023288088850677013,0.25,0.0020292390060300627
3.0,150.0,30.0,0.002111955313012004,0.25,0.002022819321913024
3.0,150.0,35.0,0.002067282097414136,0.25,0.0016063444782048464
3.0,150.0,40.0,0.0011878819204866886,0.25,0.0013433128284911315
3.0,150.0,45.0,0.0008913574274629354,0.25,0.0013221707583094637
3.0,200.0,20.0,0.0033578055445104837,0.25,0.0027528951953475675
3.0,200.0,25.0,0.003256900003179908,0.25,0.002314490149728954
3.0,200.0,30.0,0.0015646194806322455,0.25,0.002735910859579841
3.0,200.0,35.0,0.0023675125557929277,0.25,0.0019007443139950435
3.0,200.0,40.0,0.0018095978302881122,0.25,0.0015233887049059074
3.0,200.0,45.0,0.001074596424587071,0.25,0.001749503891915083
3.0,250.0,20.0,0.0015839182306081057,0.25,0.0036421752690027156
3.0,250.0,25.0,0.00428930064663291,0.25,0.0023169793421402574
3.0,250.0,30.0,0.0036409550812095404,0.25,0.0019261151125344138
3.0,250.0,35.0,0.0005930564948357642,0.25,0.0034508235597362122
3.0,250.0,40.0,0.0029755630530416965,0.25,0.001716220227535814
3.0,250.0,45.0,0.0018952784594148397,0.25,0.0021803393804778657
3.0,300.0,20.0,0.0020377319306135178,0.25,0.002045033499598503
3.0,300.0,25.0,0.001644941046833992,0.25,0.002308988089983662
3.0,300.0,30.0,0.0025777139235287905,0.25,0.002218052667255203
3.0,300.0,35.0,0.0023064378183335066,0.25,0.0021869849491243563
3.0,300.0,40.0,0.0013241079868748784,0.25,0.0018409248053406675
3.0,300.0,45.0,0.0008713396964594722,0.25,0.0014311022047574322
4.0,150.0,20.0,0.0025419655721634626,0.32015621187164245,0.0024594429414719343
4.0,150.0,25.0,0.002795180305838585,0.25,0.0025232224725186825
4.0,150.0,30.0,0.0026988929603248835,0.25,0.0023565313313156366
4.0,150.0,35.0,0.002162458375096321,0.25,0.002070397798282405
4.0,150.0,40.0,0.0014450183371081948,0.25,0.0017051901668310165
4.0,150.0,45.0,0.00176523020491004,0.3201562118716424,0.0011747525616859396
4.0,200.0,20.0,0.003524581901729107,0.32015621187164245,0.003211511764675379
4.0,200.0,25.0,0.003019829746335745,0.25,0.0031571602448821068
4.0,200.0,30.0,0.0026899988297373056,0.25,0.002390212418201069
4.0,200.0,35.0,0.0025861880276352167,0.25,0.0027127905438343682
4.0,200.0,40.0,0.0030808602459728718,0.25,0.0023615662551795444
4.0,200.0,45.0,0.002688912907615304,0.3201562118716424,0.001988351500282685
4.0,250.0,20.0,0.004038030281662941,0.32015621187164245,0.003364341255898277
4.0,250.0,25.0,0.0042198048904538155,0.25,0.00414189121996363
4.0,250.0,30.0,0.004098342731595039,0.25,0.0038081735838204622
4.0,250.0,35.0,0.003563760779798031,0.25,0.0024505749849292138
4.0,250.0,40.0,0.0026603257283568382,0.25,0.0029027042910456657
4.0,250.0,45.0,0.00216878904029727,0.3201562118716424,0.002510389080271125
4.0,300.0,20.0,0.0020696944557130337,0.32015621187164245,0.0019980637977520623
4.0,300.0,25.0,0.0023115184158086777,0.25,0.0021391382130483785
4.0,300.0,30.0,0.00270277913659811,0.25,0.0025161217587689557
4.0,300.0,35.0,0.0026591329369693995,0.25,0.0024514046187202134
4.0,300.0,40.0,0.002344996901229024,0.25,0.002025697574329873
4.0,300.0,45.0,0.002093851799145341,0.3201562118716424,0.0015134815281877916
