h,v,deg,error,est_distance,est_residual_knn
0.0,150.0,20.0,0.0003204571839887649,0.32015621187164245,0.00021221423715663454
0.0,150.0,25.0,0.0001460548082832247,0.25,0.00021088686965716383
0.0,150.0,30.0,0.00015494017861783504,0.25,0.000168253182588766
0.0,150.0,35.0,0.00016460508049931377,0.25,0.00012402536473625028
0.0,150.0,40.0,0.00010424098582006991,0.25,0.00015948738049094877
0.0,150.0,45.0,0.00017687841318547726,0.3201562118716424,0.00012533373956102878
0.0,200.0,20.0,0.00028095184825360775,0.32015621187164245,0.00038653496691646677
0.0,200.0,25.0,0.00019102709484286606,0.25,0.0003339493511399875
0.0,200.0,30.0,0.00021679405472241342,0.25,0.0001798529046936892
0.0,200.0,35.0,0.00011452109174570069,0.25,0.0001422792532442448
0.0,200.0,40.0,7.879021723056212e-05,0.25,0.00011458550337313984
0.0,200.0,45.0,0.00015530495147686452,0.3201562118716424,0.00010039404878625646
0.0,250.0,20.0,0.0003278168442193419,0.32015621187164245,0.0004674958569618563
0.0,250.0,25.0,0.00023072183830663562,0.25,0.0003948118343638877
0.0,250.0,30.0,0.00010910749551840127,0.25,0.0003374896041350439
0.0,250.0,35.0,0.00010542570089455694,0.25,0.00020615373311253885
0.0,250.0,40.0,0.00016134584438987076,0.25,0.00014749259086480984
0.0,250.0,45.0,0.000241083514993079,0.3201562118716424,0.00011460315242099266
0.0,300.0,20.0,0.0001441217609681189,0.32015621187164245,0.00020392365210379163
0.0,300.0,25.0,0.00013186022988520563,0.25,0.00018692377003996322
0.0,300.0,30.0,0.0002046506997430697,0.25,0.00020657509351925304
0.0,300.0,35.0,0.00012844869343098253,0.25,0.00023747102629082897
0.0,300.0,40.0,0.00012709999282378703,0.25,0.00024662215340261656
0.0,300.0,45.0,0.0002430186577839777,0.3201562118716424,0.00023837705278613916
1.0,150.0,20.0,0.00033332465682178736,0.25,0.00024219855549745262
1.0,150.0,25.0,0.00015726324636489153,0.25,0.0002244930413629239
1.0,150.0,30.0,0.00019409965898375958,0.25,0.00014169945158452416
1.0,150.0,35.0,0.00011289492977084592,0.25,0.00016522779575704286
1.0,150.0,40.0,0.00013697864778805524,0.25,0.00011730583355529234
1.0,150.0,45.0,0.00013478158507496119,0.25,0.00017438995807121196
1.0,200.0,20.0,0.00046447565546259284,0.25,0.0003074268897762522
1.0,200.0,25.0,0.0005041021504439414,0.25,0.00029650442593265325
1.0,200.0,30.0,0.00023401052749250084,0.25,0.0004120670249297594
1.0,200.0,35.0,0.00013125348777975887,0.25,0.00014082069537835196
1.0,200.0,40.0,7.393046689685434e-05,0.25,0.0001195017224138913
1.0,200.0,45.0,0.00014846146223135293,0.25,0.0001206872451196735
1.0,250.0,20.0,0.00042425456922501326,0.25,0.0005759748649628212
1.0,250.0,25.0,0.00074751116335392,0.25,0.00044376589357852936
1.0,250.0,30.0,0.0006763212732039392,0.25,0.00040154217276722193
1.0,250.0,35.0,0.00034800785942934453,0.25,0.00029257184360176325
1.0,250.0,40.0,9.59685567067936e-05,0.25,0.00019861625332850963
